frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,areoid,radius,sclk,sol
ROVER,4,430,-1,-93.283,15.945,-0.861,1093203.102,4354511.439,18.442997564,18.346169209,77.451194377,-2568.860,5787.59,13725.76,1446.90,3431.44,0.510,-0.168,-118.982,0.507673100,0.000993270,-0.004576880,-0.861537040,3394507.431,3391938.571,676090864,103
ROVER,4,510,-1,-127.331,-2.607,-0.789,1093169.054,4354492.887,18.442423153,18.346169209,77.450864403,-2568.932,5923.78,13651.55,1480.95,3412.89,-1.650,0.585,-146.309,0.289826720,0.000715312,0.015262010,-0.956957160,3394507.609,3391938.677,676178066,104
ROVER,4,592,-1,-151.942,-12.041,-1.211,1093144.443,4354483.453,18.442007951,18.346169209,77.450696606,-2568.510,6022.23,13613.81,1505.56,3403.45,1.409,-0.616,-143.308,0.314788900,-0.001235536,-0.013363393,-0.949066800,3394507.722,3391939.212,676266084,105
ROVER,4,638,-1,-156.738,-14.977,-1.130,1093139.646,4354480.517,18.441927028,18.346169209,77.450644384,-2568.592,6041.41,13602.07,1510.35,3400.52,0.269,0.450,147.326,0.281293700,-0.003111185,0.003358132,0.959610800,3394507.744,3391939.152,676447966,107
ROVER,4,644,-1,-159.669,-12.982,-1.199,1093136.715,4354482.512,18.441877578,18.346169209,77.450679869,-2568.522,6053.14,13610.05,1513.28,3402.51,-1.923,2.933,148.336,0.272280480,-0.029198756,-0.009159205,0.961731200,3394507.752,3391939.230,676448269,107
ROVER,4,738,-1,-165.560,-33.342,-1.049,1093130.825,4354462.152,18.441778199,18.346169209,77.450317738,-2568.673,6076.70,13528.61,1519.18,3382.15,1.611,-0.034,-119.542,0.503413700,0.006817407,-0.012293205,-0.863931200,3394507.815,3391939.142,676529842,108
ROVER,4,822,-1,-204.581,-66.651,-1.014,1093091.803,4354428.843,18.441119889,18.346169209,77.449725296,-2568.707,6232.79,13395.37,1558.20,3348.84,0.759,-1.524,-142.345,0.322769550,-0.010453425,-0.010562886,-0.946360900,3394508.012,3391939.305,676621783,109
ROVER,4,922,-1,-259.148,-71.239,-0.821,1093037.237,4354424.255,18.440199321,18.346169209,77.449643685,-2568.900,6451.05,13377.02,1612.76,3344.25,0.480,0.544,-153.264,0.231182200,0.005587877,-0.002976557,-0.972889900,3394508.169,3391939.269,676710613,110
ROVER,4,1062,-1,-294.029,-77.182,-0.584,1093002.356,4354418.312,18.439610857,18.346169209,77.449537980,-2569.137,6590.58,13353.25,1647.64,3338.31,0.743,0.963,-155.228,0.214429300,0.009599406,-0.004532415,-0.976681800,3394508.255,3391939.118,676977817,113
ROVER,4,1250,-1,-326.136,-84.824,-1.648,1092970.249,4354410.670,18.439069193,18.346169209,77.449402057,-2568.073,6719.00,13322.68,1679.75,3330.67,1.868,4.034,-140.025,0.341022000,0.038643017,-0.003281747,-0.939255000,3394508.329,3391940.256,677242671,116
ROVER,4,1422,-1,-296.373,-84.298,-0.762,1093000.012,4354411.196,18.439571309,18.346169209,77.449411409,-2568.959,6599.95,13324.78,1649.99,3331.20,-2.418,0.768,99.778,0.644003400,-0.018713437,-0.011818395,0.764702440,3394508.271,3391939.312,677775343,122
ROVER,4,1644,-1,-362.311,-71.724,-1.242,1092934.074,4354423.770,18.438458898,18.346169209,77.449635059,-2568.479,6863.70,13375.08,1715.93,3343.77,0.568,0.766,-155.603,0.211256970,0.007580538,-0.003436606,-0.977395100,3394508.382,3391939.903,677868716,123
ROVER,4,1712,-1,-369.323,-75.948,-1.509,1092927.062,4354419.546,18.438340598,18.346169209,77.449559922,-2568.213,6891.75,13358.18,1722.94,3339.55,-0.995,2.519,-153.765,0.227070290,0.019434243,0.013445362,-0.973591600,3394508.399,3391940.186,677952623,124
ROVER,4,1776,-1,-387.087,-61.304,-1.139,1092909.298,4354434.190,18.438040912,18.346169209,77.449820393,-2568.582,6962.81,13416.76,1740.70,3354.19,3.563,-3.620,152.735,0.234509800,0.038007140,0.022755569,0.971103900,3394508.416,3391939.834,678124632,126
ROVER,4,1860,-1,-426.196,-53.506,-0.609,1092870.189,4354441.988,18.437381120,18.346169209,77.449959092,-2569.112,7119.24,13447.95,1779.81,3361.99,3.783,-2.598,-176.862,0.028104471,-0.021742491,-0.033607103,-0.998803260,3394508.476,3391939.364,678214339,127
ROVER,4,1878,-1,-423.383,-53.180,-0.545,1092873.002,4354442.314,18.437428577,18.346169209,77.449964890,-2569.176,7107.99,13449.26,1777.00,3362.31,-0.487,-0.165,-172.628,0.064278595,-0.001708140,0.004150814,-0.997921900,3394508.472,3391939.296,678311461,128
ROVER,4,2222,-1,-446.149,-28.114,-0.476,1092850.236,4354467.380,18.437044501,18.346169209,77.450410725,-2569.245,7199.06,13549.52,1799.76,3387.38,0.878,0.709,80.504,0.763200800,0.001849835,0.009668378,0.646086340,3394508.488,3391939.243,678398835,129
SITE,5,-1,-1,-522.573,45.792,0.913,1092773.812,4354541.286,18.435755182,18.346169209,77.451725248,-2570.634,7504.75,13845.14,1876.19,3461.29,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394508.611,3391937.977,678490157,130
ROVER,5,500,-1,-624.699,63.881,3.633,1092671.686,4354559.375,18.434032254,18.346169209,77.452046987,-2573.354,7913.26,13917.50,1978.31,3479.38,-3.660,-1.551,-155.535,0.211332400,-0.019988965,0.028341925,-0.976798800,3394508.910,3391935.556,678572815,131
ROVER,5,894,-1,-716.987,77.785,5.441,1092579.398,4354573.279,18.432475300,18.346169209,77.452294290,-2575.162,8282.41,13973.12,2070.60,3493.28,0.281,-2.641,154.118,0.223829270,0.023003794,-0.002774395,0.974352900,3394509.231,3391934.069,678838237,134
ROVER,5,1388,-1,-796.338,69.608,10.514,1092500.047,4354565.102,18.431136600,18.346169209,77.452148850,-2580.235,8599.81,13940.41,2149.95,3485.10,-0.504,-7.078,-126.719,0.447286730,-0.057141460,-0.023757929,-0.892247140,3394509.542,3391929.307,678928453,135
ROVER,5,1572,-1,-830.233,63.720,12.908,1092466.152,4354559.214,18.430564766,18.346169209,77.452044128,-2582.630,8735.39,13916.86,2183.85,3479.21,3.151,5.088,104.795,0.610312760,-0.018390667,0.048830815,0.790440140,3394509.686,3391927.056,679017672,136
ROVER,5,1812,-1,-864.968,69.709,14.070,1092431.417,4354565.203,18.429978768,18.346169209,77.452150652,-2583.792,8874.33,13940.81,2218.58,3485.20,3.011,3.753,90.788,0.702222940,-0.004867767,0.041682597,0.710719200,3394509.820,3391926.028,679102815,137
ROVER,5,2296,-1,-960.185,62.863,16.148,1092336.200,4354558.357,18.428372394,18.346169209,77.452028875,-2585.870,9255.20,13913.43,2313.80,3478.36,3.982,0.366,-140.829,0.334908370,0.014652315,-0.031661503,-0.941604600,3394510.214,3391924.344,680527778,153
ROVER,5,2512,-1,-995.469,37.403,15.365,1092300.915,4354532.897,18.427777125,18.346169209,77.451576029,-2585.087,9396.34,13811.59,2349.08,3452.90,0.910,3.199,-150.846,0.251358700,0.029013533,-0.000659930,-0.967458840,3394510.397,3391925.310,680708669,155
SITE,6,-1,-1,-1000.359,41.551,15.201,1092296.026,4354537.045,18.427694643,18.346169209,77.451649816,-2584.922,9415.90,13828.18,2353.97,3457.04,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394510.412,3391925.490,680884496,157
